Loading
Dead loads
Concentrated loads(global axis)
Edge	xdir	ydir	moment	refnode	dxb	dyb


block	xdir	ydir	moment refnode	dxb	dyb


Continuous loads
Edge	xdir	ydir	refnode	dxstart	dystart	dxend	dyend


Block	xdir	ydir	
1	0	-0.142857142
2	0	-0.142857142
3	0	-0.142857142
4	0	-0.142857142
5	0	-0.142857142
6	0	-0.142857142
7	0	-0.142857142
8	0	-0.142857142
9	0	-0.142857142
10	0	-0.142857142
11	0	-0.142857142
12	0	-0.142857142
13	0	-0.142857142
14	0	-0.142857142
15	0	-0.142857142
16	0	-0.142857142
17	0	-0.142857142
18	0	-0.142857142
19	0	-0.142857142
20	0	-0.142857142
21	0	-0.142857142
22	0	-0.142857142
23	0	-0.142857142
24	0	-0.142857142
25	0	-0.142857142
26	0	-0.142857142
27	0	-0.142857142
28	0	-0.142857142
29	0	-0.142857142
30	0	-0.142857142
31	0	-0.142857142
32	0	-0.142857142
33	0	-0.142857142
34	0	-0.142857142
35	0	-0.142857142
36	0	-0.142857142
37	0	-0.142857142
38	0	-0.142857142
39	0	-0.142857142
40	0	-0.142857142
41	0	-0.142857142
42	0	-0.142857142
43	0	-0.142857142
44	0	-0.142857142
45	0	-0.142857142
46	0	-0.142857142
47	0	-0.142857142
48	0	-0.142857142
49	0	-0.142857142
50	0	-0.142857142
51	0	-0.142857142
52	0	-0.142857142
53	0	-0.142857142
54	0	-0.142857142
55	0	-0.142857142






Live loads
Concentrated loads(global axis)
Edge	xdir	ydir	moment	refnode	dxb	dyb


block	xdir	ydir	moment refnode	dxb	dyb


Continuous loads
Edge	xdir	ydir	refnode	dxstart	dystart	dxend	dyend


Block	xdir	ydir		
1	0.142857142	0
2	0.142857142	0
3	0.142857142	0
4	0.142857142	0
5	0.142857142	0
6	0.142857142	0
7	0.142857142	0
8	0.142857142	0
9	0.142857142	0
10	0.142857142	0
11	0.142857142	0
12	0.142857142	0
13	0.142857142	0
14	0.142857142	0
15	0.142857142	0
16	0.142857142	0
17	0.142857142	0
18	0.142857142	0
19	0.142857142	0
20	0.142857142	0
21	0.142857142	0
22	0.142857142	0
23	0.142857142	0
24	0.142857142	0
25	0.142857142	0
26	0.142857142	0
27	0.142857142	0
28	0.142857142	0
29	0.142857142	0
30	0.142857142	0
31	0.142857142	0
32	0.142857142	0
33	0.142857142	0	
34	0.142857142	0
35	0.142857142	0
36	0.142857142	0
37	0.142857142	0
38	0.142857142	0
39	0.142857142	0
40	0.142857142	0
41	0.142857142	0
42	0.142857142	0
43	0.142857142	0
44	0.142857142	0
45	0.142857142	0
46	0.142857142	0
47	0.142857142	0
48	0.142857142	0
49	0.142857142	0
50	0.142857142	0
51	0.142857142	0
52	0.142857142	0
53	0.142857142	0
54	0.142857142	0
55	0.142857142	0

